tntop,沈阳,很棒的电影！效果很棒！,4.52018-12-11 15:17:20
ldO281024961,贵阳,炫目，恢宏的世界,52018-12-11 15:17:09
RgR653494056,襄阳,dc翻身作！,52018-12-11 15:17:00
思思是个小懒虫,西安,挺好看的，特效做的好,52018-12-11 15:16:46
李梦鱼啊,佛山,超燃喜欢！！,52018-12-11 15:16:04
dfP917643556,原平,英雄电影都是这样的套路，情节一般般，画面效果还好,42018-12-11 15:15:23
wLl821878200,武汉,情节老套 看的要睡着了,0.52018-12-11 15:12:58
Kimi｡ﾟღ,无锡,妮可基德曼拿三叉戟的时候，鸡皮疙瘩都起来了，太帅了，打斗很棒。看到一个多小时的时候，就想着，放慢点，不要那么快结束。很棒，坐等第二部,52018-12-11 15:12:45
꧁꫞九姑娘꫞꧂,常熟,DC翻盘神作！打了满分鼓励一下！,52018-12-11 15:12:41
JKarlzhu,深圳,特效非常棒！特别是去海沟族那一段,52018-12-11 15:12:31
程子宁,宿州,哦哦哦哦哦哦哦哦哦哦哦媚拉真好看,52018-12-11 15:12:19
oYY802424460,滁州,超级超级超级好看,52018-12-11 15:12:15
LXU307331272,丽水,特效不错，但是剧情老套没有新意，有些雷人。,42018-12-11 15:12:12
李想1591,北京,年度最佳，没有之一,52018-12-11 15:12:09
Dty828334363,长春,好看到窒息！,52018-12-11 15:11:45
积极向上小青年。,海城,女主角真心好看啊,4.52018-12-11 15:11:26
阿静飞飞90,淮安,剧情不错，电影虽然时间很长，但是一点不拖沓，不觉得冗长,52018-12-11 15:11:12
HWm826206058,北京,特效超级棒～温导威武～,52018-12-11 15:11:08
BIL445398104,淄博,感觉剧情上空白处有点多，整体结构线不够完整,3.52018-12-11 15:11:01
非雨,攀枝花,可能是角色要求，男主颜值不高，比较彪悍，就是看个特效。剧情方面有些虎头蛇尾,3.52018-12-11 15:10:56
绫魂,上海,特效打斗量足，不错,4.52018-12-11 15:10:20
单倩雯,丽水,好看好看好看,52018-12-11 15:07:15
雨秋,成都,好看，剧情紧凑不拖沓，特效场面宏大震撼，制作精美，妮可好美！,52018-12-11 15:06:51
凌,石家庄,之所以没打十分是因为中间我睡呢五分钟。可能太困呢。影片特效特别炫。场景很美。情节紧凑。主人公特别美。期待会有后季吧,42018-12-11 15:06:26
爱果菓儿,石家庄,好看。很酷炫。感觉好像还有第二部,52018-12-11 15:06:07
13425505500,中山,非常好看，24小时内去看了两次~,52018-12-11 15:06:05
BoZ106543773,大连,刚看完，特别着急写影评，非常完美的电影，是这几年来看过最好看的电影没有之一。故事完美，很有教育意义，要保护海洋。导演也非常给力，华裔。特效做的那叫一个经常，总之不看这部电影是你的损失，把这个票房顶起来。,52018-12-11 15:06:03
蓝思洛,昆明,不错，看过动画版，真人版比动画版还好看,42018-12-11 15:06:01
王永刚,天津,剧情老套！不过整体还是热热闹闹的 值回票价！没事看着解闷吧。,42018-12-11 15:05:48
jhzooz2013,盐城,气势洪大，画面效果逼真，海底世界富于想象,52018-12-11 15:05:00
Mr.湶,苍南,不错啦啦啦啦,52018-12-11 15:04:48
缘,重庆,超级好看，海景不,52018-12-11 15:04:36
水水尧子,兰溪,特效很好，推荐看imax的,52018-12-11 15:04:21
迷小焰,南京,非常好看，剧情特效一级棒！,52018-12-11 15:03:27
王先生56388,临沂,太好看了 赞,52018-12-11 15:03:26
大宇9mm05,长春,非常好看的一部电影,4.52018-12-11 15:03:11
周周周91522,乌鲁木齐,真的太好看了,52018-12-11 15:00:00
听风过,等雨停,信阳,好看，确实不错,52018-12-11 14:59:55
骁千薇,无锡,。。。。。。。。,4.52018-12-11 14:59:48
陽毬,惠东,特效和拍得好，爽,52018-12-11 14:59:16
丹丹姐909,鞍山,非常好看的电影哦，喜欢,52018-12-11 14:59:04
蜗牛13622286,广州,挺不错的电影，特效棒棒哒！,4.52018-12-11 14:58:59
无比帅七,重庆,特效很绚丽，看起来很享受，,4.52018-12-11 14:58:57
ZQ353,西安,海王的身上也有一些温子仁的影子，向人们证明了自己,42018-12-11 14:58:38
莱芜市楷润蔬菜种植批发有限公司,莱芜,故事情节还可以，特效很棒！,52018-12-11 14:58:14
BES287124192,抚顺,太喜欢这部电影了，过瘾，效果不错,52018-12-11 14:57:56
lch13728645262,深圳,温子仁，不负众望，特效扛扛的,52018-12-11 14:57:41
梦尘之初,北京,真的是完美，特效太震撼了；剧情接上了《正义联盟》，非常推荐大家去看，最好是MAX场面应该更震撼,52018-12-11 14:57:04
AZf633965529,沈阳,可以的可以的,4.52018-12-11 14:56:35
Mirkwood,常熟,这是一个好评模板，不要看了下面都是废话。因为本仙女很懒不想每个宝贝都写好评所以才模仿网友的好评模板，但是这个宝贝不管是质量还是款式都是本仙女喜欢的如果不喜欢本仙女收到会很生气然后这个模板就会变成各种喋喋不体的吐槽，自然不会撒下这个好评给各位淘友一个参考。本宝贝还是极好的，来自一位懒省事的只爱购物不爱写评论只想换积分的仙女。,52018-12-11 14:56:33
jEi572107851,安庆,超好看，很震撼，值得观看,52018-12-11 14:56:24
RkY597113729,无锡,这辈子最刁的电影 没之一,52018-12-11 14:53:37
随便取.不重要,北京,这是场视觉盛宴,52018-12-11 14:53:36
FfO969991088,济南,燃爆了的电影，非常值得一看,52018-12-11 14:53:11
愚乐世界,同安,不错，展现了一个壮丽的海底世界，而且不仅仅局限海底，比之前的蝙超大战和正义联盟精彩很多，值得推荐进影院。唉，又可惜明明《西游记》里面也有缤纷波澜的四海龙宫，啥时候我们也能拍一回π_π,42018-12-11 14:53:07
Lady曼的慢生活,武汉,故事情节完整，场面不错，特效绚烂缤纷～,4.52018-12-11 14:52:46
Lutant,牡丹江,海底世界都画面确实可以，可能是之前dc电影实在太烂显得这部电影比较高大。当成一般魔幻电影看看也不错，,3.52018-12-11 14:52:35
狂拽酷炫季霸道,南通,！！！！！价,52018-12-11 14:51:49
虎123789,常州,好。。。。。。。。。。。。,42018-12-11 14:51:40
_qqc7v1397222027,睢县,故事预留第二部，,4.52018-12-11 14:51:12
新西兰的春天428,海口,特效是真的好，两个女主的打斗场面都好酷，男主拖着三叉戟在舰上碰出声响的那幕真的是好帅！全程音效高能，去看之前困的(இдஇ; )不行，在看的时候一点没想睡。不过，也是音效太多地方太撞耳膜了,4.52018-12-11 14:50:56
南捷一达,乌鲁木齐,海王帅爆了 呜呜呜,52018-12-11 14:50:34
国民酱香茅台赖茅，西藏卓玛泉,青岛,值得一看。女的也很漂亮。,52018-12-11 14:50:32
影,梅州,十分好看，场面壮观，演员也演得不错，希望温导还能拍出好看的电影,52018-12-11 14:50:29
Aimee,清远,这场影片不错,4.52018-12-11 14:49:48
ZBN395710074,深圳,简单，粗暴，3D效果一般,1.52018-12-11 14:49:46
FOR3and3,大连,超级震撼，值得一看,52018-12-11 14:47:09
一生俯首拜阳明,阜阳,海王之争：人民币玩家的对决,52018-12-11 14:47:02
闪瞎狗眼,武汉,标准特效电影,42018-12-11 14:46:59
婧璇宝宝,连云港,好看极了，，，好帅,4.52018-12-11 14:46:45
Jamie0514,广州,好看好看好看,52018-12-11 14:46:36
何等奇葩,武汉,这次dc赢过漫威，海王nb！,52018-12-11 14:46:21
超人Pulman_,晋江市,正能量满满！,52018-12-11 14:46:02
优先美的,临沂,很好(✪▽✪),52018-12-11 14:45:33
Xiaobo946,苏州,非常精彩，高科技,52018-12-11 14:45:11
leon15807,昆明,没有暗黑风的DC,4.52018-12-11 14:44:57
豆丁🌙,云浮,不错陆地和海洋本来就合为一体,52018-12-11 14:44:24
viP563198520,阜新,特喜欢，有时间会在看一遍,52018-12-11 14:44:23
znX956780917,南通,蛮好看的，不错,52018-12-11 14:44:01
xHH849023329,湖州,我只给特效分白莲花做女主角，导演你脑子也是进屎了。剧情中二老套，唯有特效可看的爆米花电影。,2.52018-12-11 14:43:53
🌈,浏阳,非常喜欢的一部电影，海底阿凡达,52018-12-11 14:43:45
QQ,大连,特效是真的棒,52018-12-11 14:39:36
轻轻我昕,白城,没谁了！太棒了！😍 😍 😍 😍,52018-12-11 14:38:57
娜若家小儿推拿 招收学员,天津,很好看，很震撼！,52018-12-11 14:38:47
为人为已,佛山,特效很好，故事情节也不错，值得一看。,4.52018-12-11 14:38:43
苍穹何以这么蓝,焦作,超震撼的……三D,52018-12-11 14:38:18
Bpj231454855,海宁,电影不错👍,52018-12-11 14:38:15
豆丁乖,郑州,温子仁实在是太了解观众想看什么了。各种类型元素往里面加，每种都在视觉和调度上做出了新意，真是不可多得的类型片全才。虽然是老套的争夺王位的故事，但包装无比绚丽出彩：瑰丽奇幻的海底王国，纷繁众多的海洋生物，让人应接不暇、屏住呼吸的动作场面，已经略显疲态的超英电影总算在视觉奇观上又带给人们一次新的惊喜。DC的女性角色总是比男性角色更加出彩，看完这部片，湄拉的红发印在我脑海中久未散去。妮可基德曼让我感觉到什么叫做女神永远年轻！,52018-12-11 14:38:06
古茨.冯.贝利欣根,天津,非常好看，紧张刺激，男主角有点像徐锦江，女主角有点像 迪丽热巴,52018-12-11 14:37:52
艾莎,汕头,视觉盛宴!!!,52018-12-11 14:37:39
ZYr411230040,石家庄,我是一个不喜欢看英文电影的人，唯独对海王特殊，刚上映就盯上了，今天来看的，真的是超级震撼，全程不困，最后还看了彩蛋，好喜欢💕,52018-12-11 14:37:37
East丶Yao,遵义,很震撼   非常好看  特效简直了  没的说,52018-12-11 14:37:35
敏敏,北碚,好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看,52018-12-11 14:36:46
米小鱼儿,莱州,一个嗨片儿，女主超美了可以说！炒鸡哈啤的ending！看完心情美腻,42018-12-11 14:36:38
haowei09,长沙,画面非常唯美！！！,52018-12-11 14:36:28
大萍,北京,一部很好的电影，倡导爱和责任，也不掩藏黑暗的一面。看完如午后阳光般舒适，当做练习听力也是不错的选择。,4.52018-12-11 14:36:14
nZA822550844,长春,故事老套，但视觉享受很棒，不错的影片,4.52018-12-11 14:34:12
初次遇见的世界,邹城,挺不错的，特效牛批！,4.52018-12-11 14:34:01
ygx582354131,佛山,好看极了，非常不错的一部电影，,4.52018-12-11 14:33:33
PdL831510257,上海,感觉还可以，比黑豹好多了,4.52018-12-11 14:33:26
Cortana,桂林,特效满分哒哒哒哒哒,52018-12-11 14:32:31
玖月奇迹,海口,很好的一部电影！期待第二部！海王2,52018-12-11 14:32:30
